Uniprot ID	kcat	unit	KEGG ID	Substrates	Products	PMID	substrate_IDs	products_IDs	complete
P0ABQ4	14.08	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	15.0	s^(-1)	R00939	NADPH;H+;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	13.47	s^(-1)	R00939	NADPH;Dihydrofolate;H+	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	9.57	s^(-1)	R00939	H+;Dihydrofolate;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	13.53	s^(-1)	R00939	NADPH;H+;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	9.53	s^(-1)	R00939	Dihydrofolate;H+;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.8	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.83	s^(-1)	R00939	Dihydrofolate;H+;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.7	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.42	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	7.82	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.5	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.97	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.57	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.92	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	1.45	s^(-1)	R00939	NADPH;Dihydrofolate;H+	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.18	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.3	s^(-1)	R00939	NADPH;H+;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.45	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.65	s^(-1)	R00939	NADPH;H+;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
