rxn_id	kegg_reaction_id	ec_code	substrates	products
MAR08767	R00502	2.7.7.12	C00446;C00080;C00075	C00013;C00052
MAR00454	R01059	2.7.1.28	C00002;C02154	C00008;C00118;C00080
MAR04297	R00757	2.7.1.105	C00002;C00085	C00008;C00665;C00080
MAR04310	R00866	2.7.1.3	C00002;C02336	C00008;C01094;C00080
MAR04315	R00875	1.1.1.14	C00794;C00003	C02336;C00080;C00004
MAR04316	R01787	1.1.1.21	C00794;C00006	C00031;C00080;C00005
MAR04319	R00760	2.7.1.1	C00002;C02336	C00008;C00085;C00080
MAR04356	R02568	4.1.2.13	C00111;C02154	C01094
MAR04383	R00772	5.3.1.8	C00085	C00275
MAR04385	R01818	5.4.2.8	C00275	C00636
MAR04386	R00883	2.7.7.22	C00035;C00080;C00636	C00096;C00009
MAR04387	R00885	2.7.7.13	C00044;C00080;C00636	C00096;C00013
MAR04399	R00888	4.2.1.47	C00096	C01222;C00001
MAR04400	R05692	1.1.1.271	C01222;C00080;C00004	C00325;C00003
MAR04401	R01951	2.7.7.30	C00044;C00080;C02985	C00325;C00013
MAR04402	R03161	2.7.1.52	C01019;C00002	C00008;C00080;C02985
MAR04403	R03163	5.3.1.25	C01019	C01721
MAR04490	R01326	2.7.1.1	C00002;C00159	C00008;C00080;C00275
MAR04706	R00763	3.1.3.46	C00665;C00001	C00085;C00009
MAR08768	R05692	1.1.1.271	C01222;C00080;C00005	C00325;C00006
MAR04590	R01904	1.1.1.10	C00080;C00312;C00005	C00006;C00379
MAR04591	R05831	1.1.1.15	C00003;C00379	C00080;C00312;C00004
MAR04592	R01431	1.1.1.21	C00181;C00080;C00005	C00006;C00379
MAR04593	R01896	1.1.1.9	C00003;C00379	C00310;C00080;C00004
MAR04594	R01430	1.1.1.179	C00181;C00006	C02266;C00080;C00005
MAR04595	R01639	2.7.1.17	C00008;C00231;C00080	C00002;C00310
MAR08341	R01759	1.1.1.21	C00080;C00259;C00005	C00532;C00006
MAR08729	R08615	4.1.1.35	C00001;C00167	C00191;C00080;C00015
MAR06537	R01481	1.1.1.2	C00191;C00080;C00005	C00800;C00006
