rxn,KEGG_rxn_id,ec-code,genes,substrates,products,direction
BIOMASS_Ecoli_core_w_GAM,,,,3pg_c(1.496);accoa_c(3.7478);atp_c(59.81);e4p_c(0.361);f6p_c(0.0709);g3p_c(0.129);g6p_c(0.205);gln__L_c(0.2557);glu__L_c(4.9414);h2o_c(59.81);nad_c(3.547);nadph_c(13.0279);oaa_c(1.7867);pep_c(0.5191);pyr_c(2.8328);r5p_c(0.8977),adp_c(59.81);akg_c(4.1182);coa_c(3.7478);h_c(59.81);nadh_c(3.547);nadp_c(13.0279);pi_c(59.81),forward
PYRt2,,,,h_e(1.0);pyr_e(1.0),h_c(1.0);pyr_c(1.0),forward
PYRt2,,,,h_c(1.0);pyr_c(1.0),h_e(1.0);pyr_e(1.0),reverse
CO2t,,,,co2_e(1.0),co2_c(1.0),forward
CO2t,,,,co2_c(1.0),co2_e(1.0),reverse
RPE,R01529,5.1.3.1,b3386,ru5p__D_c(1.0),xu5p__D_c(1.0),forward
RPE,R01529,5.1.3.1,b3386,xu5p__D_c(1.0),ru5p__D_c(1.0),reverse
CS,R00351,2.3.3.16;2.3.3.1;2.3.3.3,b0720,accoa_c(1.0);h2o_c(1.0);oaa_c(1.0),cit_c(1.0);coa_c(1.0);h_c(1.0),forward
RPI,,5.3.1.6,b2914;b4090,r5p_c(1.0),ru5p__D_c(1.0),forward
RPI,,5.3.1.6,b2914;b4090,ru5p__D_c(1.0),r5p_c(1.0),reverse
SUCCt2_2,,,,h_e(2.0);succ_e(1.0),h_c(2.0);succ_c(1.0),forward
CYTBD,,,,h_c(2.0);o2_c(0.5);q8h2_c(1.0),h2o_c(1.0);h_e(2.0);q8_c(1.0),forward
D_LACt2,,,,h_e(1.0);lac__D_e(1.0),h_c(1.0);lac__D_c(1.0),forward
D_LACt2,,,,h_c(1.0);lac__D_c(1.0),h_e(1.0);lac__D_e(1.0),reverse
ENO,R00658,4.2.1.11,b2779,2pg_c(1.0),h2o_c(1.0);pep_c(1.0),forward
ENO,R00658,4.2.1.11,b2779,h2o_c(1.0);pep_c(1.0),2pg_c(1.0),reverse
SUCCt3,,,,h_e(1.0);succ_c(1.0),h_c(1.0);succ_e(1.0),forward
ETOHt2r,,,,etoh_e(1.0);h_e(1.0),etoh_c(1.0);h_c(1.0),forward
