RxnID	EC_Code	Uniprot	KEGG_Substrate	KEGG_Product
MAR00716	3.5.1.23	Q9NR71	C00001;C12145	C12144;C00162
MAR00733	3.5.1.23	Q13510	C00195;C00010;C00080	C00319;C00040
MAR00733	3.5.1.23	Q9NR71	C00195;C00010;C00080	C00319;C00040
MAR00733	3.5.1.23	Q8TDN7	C00195;C00010;C00080	C00319;C00040
MAR00733	3.5.1.23	Q5QJU3	C00195;C00010;C00080	C00319;C00040
MAR00735	2.7.8.27	Q8NHU3	C00195;C00157	C00550;C00641
MAR00735	2.7.8.27	Q86VZ5	C00195;C00157	C00550;C00641
MAR00736	2.7.8.27	Q8NHU3	C00195;C00157	C00641;C00550
MAR00736	2.7.8.27	Q86VZ5	C00195;C00157	C00641;C00550
MAR00738	2.3.1.50	Q9NUV7	C00080;C00154;C00065	C02934;C00011;C00010
MAR00738	2.3.1.50	O15270	C00080;C00154;C00065	C02934;C00011;C00010
MAR00738	2.3.1.50	O15269	C00080;C00154;C00065	C02934;C00011;C00010
MAR00741	1.1.1.102	Q06136	C02934;C00080;C00005	C00006;C00836
MAR00744	2.7.1.91	Q9NYA1	C00002;C00836	C00008;C00080;C01120
MAR00744	2.7.1.91	Q9NRA0	C00002;C00836	C00008;C00080;C01120
MAR00744	2.7.1.91	Q10586	C00002;C00836	C00008;C00080;C01120
MAR00746	3.1.3.4	O43688	C00001;C01120	C00009;C00836
MAR00746	3.1.3.4	Q9BQK8	C00001;C01120	C00009;C00836
MAR00746	3.1.3.4	Q14693	C00001;C01120	C00009;C00836
MAR00746	3.1.3.4	O14494	C00001;C01120	C00009;C00836
MAR00746	3.1.3.4	Q92539	C00001;C01120	C00009;C00836
MAR00746	3.1.3.4	O14495	C00001;C01120	C00009;C00836
MAR00748	4.1.2.27	O95470	C00346;C00517	C01120
MAR00750	2.3.1.24	Q8IU89	C00836;C00040	C00010;NaN;C00080
MAR00750	2.3.1.24	Q6ZMG9	C00836;C00040	C00010;NaN;C00080
MAR00750	2.3.1.24	Q9HA82	C00836;C00040	C00010;NaN;C00080
MAR00750	2.3.1.24	Q96G23	C00836;C00040	C00010;NaN;C00080
MAR00750	2.3.1.24	Q8N5B7	C00836;C00040	C00010;NaN;C00080
MAR00750	2.3.1.24	P27544	C00836;C00040	C00010;NaN;C00080
MAR00753	3.5.1.23	Q9NUN7	NaN;C00001	C00836;C00162
MAR00753	3.5.1.23	Q13510	NaN;C00001	C00836;C00162
