RxnID	EC_Code	Uniprot	KEGG_Substrate	KEGG_Product
MAR03575	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C16300
MAR03576	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03576	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03577	3.1.1.13	P38571	NaN;C00001	C00187;C06428;C00080
MAR03577	3.1.1.13	P19835	NaN;C00001	C00187;C06428;C00080
MAR03578	3.1.1.13	P38571	NaN;C00001	C00187;C16513;C00080
MAR03578	3.1.1.13	P19835	NaN;C00001	C00187;C16513;C00080
MAR03579	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03579	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03580	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03580	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03581	3.1.1.13	P38571	NaN;C00001	C00187;C06429;C00080
MAR03581	3.1.1.13	P19835	NaN;C00001	C00187;C06429;C00080
MAR03582	3.1.1.13	P38571	NaN;C00001	C16522;C00187;C00080
MAR03582	3.1.1.13	P19835	NaN;C00001	C16522;C00187;C00080
MAR03583	3.1.1.13	P38571	NaN;C00001	C16534;C00187;C00080
MAR03583	3.1.1.13	P19835	NaN;C00001	C16534;C00187;C00080
MAR03584	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03584	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03585	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03585	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03586	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C01595
MAR03586	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C01595
MAR03587	3.1.1.13	P38571	NaN;C00001	C00187;C06426;C00080
MAR03587	3.1.1.13	P19835	NaN;C00001	C00187;C06426;C00080
MAR03588	3.1.1.13	P38571	NaN;C00001	C00187;C03242;C00080
MAR03588	3.1.1.13	P19835	NaN;C00001	C00187;C03242;C00080
MAR03589	3.1.1.13	P38571	NaN;C00001	C00219;C00187;C00080
MAR03589	3.1.1.13	P19835	NaN;C00001	C00219;C00187;C00080
